,Languages,Repo Name
0,,.github
1,,ads-advanced-tools-docs
2,Smarty,ads-pao-amznjs-gtm-template
3,JavaScript,alexa-coho
4,,alexa-skills-kit-js
5,Python,amazon-ads-advertiser-audience-normalization-sdk-py
6,PHP,amazon-advertising-api-php-sdk
7,Java,amazon-codeguru-profiler-for-spark
8,Python,amazon-frustration-free-setup-certification-tool
9,CSS,amazon-hub-counter-api-docs
10,Java,amazon-hub-counter-api-samples
11,Java,amazon-hub-counter-sdk-java
12,PowerShell,amazon-hub-support
13,Java,amazon-instant-access-sdk-java
14,C#,amazon-instant-access-sdk-net
15,PHP,amazon-instant-access-sdk-php
16,Ruby,amazon-instant-access-sdk-ruby
17,JavaScript,amazon-launcher-integration-cordova-plugin
18,Python,amazon-marketing-stream-examples
19,PHP,amazon-mcf-plugin-for-magento-1
20,Python,amazon-multi-token-completion
21,Jupyter Notebook,amazon-nearest-neighbor-through-ecc
22,C#,amazon-pay-api-sdk-dotnet
23,Java,amazon-pay-api-sdk-java
24,JavaScript,amazon-pay-api-sdk-nodejs
25,PHP,amazon-pay-api-sdk-php
26,C#,amazon-pay-sdk-csharp
27,Java,amazon-pay-sdk-java
28,PHP,amazon-pay-sdk-php
29,Python,amazon-pay-sdk-python
30,Ruby,amazon-pay-sdk-ruby
31,PHP,amazon-pay-sdk-samples
32,Kotlin,amazon-payment-files-tools
33,PHP,amazon-payments-magento-2-plugin
34,Python,amazon-ray
35,C,amazon-s3-gst-plugin
36,Kotlin,amazon-sidewalk-android-samples
37,Swift,amazon-sidewalk-ios-samples
38,Python,amazon-succinct-doc-representation
39,C++,amazon-template-library
40,Python,amazon-weak-ner-needle
41,Go,amigitenough
42,C,amzn-drivers
43,Python,amzn-ec2-ena-utilities
44,Jupyter Notebook,auction-gym
45,Python,autotrail
46,,aws-apigateway-client-lib
47,Java,aws-sigv4-signing-samples
48,Kotlin,awsssmchaosrunner
49,Python,basis-point-sets
50,JavaScript,buy-with-prime-automate-tenant-validation
51,Python,buy-with-prime-event-accelerator
52,JavaScript,buy-with-prime-oauth-handler-ec2
53,TypeScript,buy-with-prime-saas-integration
54,Python,chalet-charging-location-for-electric-trucks
55,,computer-vision-basics-in-microsoft-excel
56,Jupyter Notebook,confident-sinkhorn-allocation
57,Python,convolutional-handwriting-gan
58,Python,cosearcher
59,Python,credence-to-causal-estimation
60,Java,data-jack-knife
61,Jupyter Notebook,debiased-balanced-interleaving
62,Python,differential-privacy-bayesian-optimization
63,Python,distance-assistant
64,Java,drs-sample-android-app
65,Objective-C,drs-sample-ios-app
66,JavaScript,emukit-playground
67,TypeScript,eslint-plugin-no-date-parsing
68,Java,exoplayer-amazon-port
69,,explainable-text-vqa
70,Python,faithful-data2text-cycle-training
71,Python,fashion-attribute-disentanglement
72,Java,fire-app-builder
73,Java,firetv-sample-touch-app
74,Java,ftv-livetv-sample-tv-app
75,C#,gameon-sample-game-unity
76,C#,gameon-starter-kit-unity
77,JavaScript,git-commit-template
78,JavaScript,glad
79,Go,golang-gitoperations
80,Java,halo-third-party-sdk-for-java
81,TypeScript,halo-third-party-sdk-for-node-js
82,Python,halo-third-party-sdk-for-python
83,C++,hawktracer
84,,image-misspell-coling2020
85,Python,image-to-recipe-transformers
86,C#,ion-object-mapper-dotnet
87,HTML,jekyll-doc-project
88,,kqr
89,PHP,login-with-amazon-oscommerce
90,PHP,login-with-amazon-wordpress
91,JavaScript,merlin-on-demand-callgraph
92,Python,metalearn-leap
93,Scala,milan
94,Python,multiconer-baseline
95,Python,multilingual-keyphrase-generation
96,Python,multimodal-affinities
97,Python,MXFusion
98,Java,nimbus-jose-jwt_aws-kms-extension
99,TypeScript,node-jose_aws-kms-extension
100,Swift,openapi-swift-code-generate
101,Python,orthogonal-additive-gaussian-processes
102,TypeScript,oss-attribution-builder
103,TypeScript,oss-contribution-tracker
104,Ruby,oss-dashboard
105,Python,pecos
106,Python,pretraining-or-self-training
107,Python,python-jose_aws-kms-extension
108,C,rdma-core
109,Python,refuel-open-domain-qa
110,Python,rete-thewebconf-2022
111,Python,rheoceros
112,C++,robotiq-gripper-interface
113,Java,sample-fire-tv-app-video-skill
114,HTML,selling-partner-api-docs
115,Java,selling-partner-api-models
116,Java,selling-partner-api-samples
117,Python,seqzero
118,Swift,service-model-swift-code-generate
119,JavaScript,sketch-constructor
120,Swift,smoke-aws
121,Swift,smoke-aws-credentials
122,Swift,smoke-aws-generate
123,Swift,smoke-aws-support
124,Swift,smoke-dynamodb
125,Swift,smoke-framework
126,Swift,smoke-framework-application-generate
127,Swift,smoke-framework-examples
128,Swift,smoke-http
129,Python,sparse-vqvae
130,Python,ss-aga-kgc
131,Python,sto-transformer
132,JavaScript,style-dictionary
133,Python,supply-chain-simulation-environment
134,TypeScript,tiny-attribution-generator
135,Python,trans-encoder
136,Python,user-satisfaction-modeling
137,JavaScript,workspace-resolver
138,Python,xfer
139,Zeek,zeek-plugin-bacnet
140,Zeek,zeek-plugin-enip
141,Zeek,zeek-plugin-profinet
142,Zeek,zeek-plugin-s7comm
143,Zeek,zeek-plugin-tds
144,Python,zero-shot-rlhr
